Territori,Tipus de territori,Escenari,01 Gen. 2024,01 Gen. 2024,01 Gen. 2024,01 Gen. 2025,01 Gen. 2025,01 Gen. 2025,01 Gen. 2026,01 Gen. 2026,01 Gen. 2026,01 Gen. 2027,01 Gen. 2027,01 Gen. 2027,01 Gen. 2028,01 Gen. 2028,01 Gen. 2028,01 Gen. 2029,01 Gen. 2029,01 Gen. 2029,01 Gen. 2030,01 Gen. 2030,01 Gen. 2030,01 Gen. 2031,01 Gen. 2031,01 Gen. 2031,01 Gen. 2032,01 Gen. 2032,01 Gen. 2032,01 Gen. 2033,01 Gen. 2033,01 Gen. 2033,01 Gen. 2034,01 Gen. 2034,01 Gen. 2034,01 Gen. 2035,01 Gen. 2035,01 Gen. 2035,01 Gen. 2036,01 Gen. 2036,01 Gen. 2036,01 Gen. 2037,01 Gen. 2037,01 Gen. 2037,01 Gen. 2038,01 Gen. 2038,01 Gen. 2038,01 Gen. 2039,01 Gen. 2039,01 Gen. 2039,01 Gen. 2040,01 Gen. 2040,01 Gen. 2040,01 Gen. 2041,01 Gen. 2041,01 Gen. 2041,01 Gen. 2042,01 Gen. 2042,01 Gen. 2042,01 Gen. 2043,01 Gen. 2043,01 Gen. 2043,01 Gen. 2044,01 Gen. 2044,01 Gen. 2044
Territori,Tipus de territori,Escenari,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys
Gràcia,Districte,Mitjà,14747,84520,26560,14722,85332,26582,14790,86156,26555,14861,86779,26610,14867,87176,26611,14845,87241,26727,14857,87134,26851,14840,86940,26990,14811,86778,27147,14776,86639,27315,14749,86447,27544,14746,86231,27779,14796,86007,27973,14770,85764,28263,14769,85489,28560,14783,85150,28902,14758,84850,29242,14655,84571,29631,14550,84291,30018,14438,83993,30426,14324,83675,30850
Gràcia,Districte,Alt,14747,84520,26560,14758,85653,26683,14870,86838,26723,14998,87913,26848,15096,88954,26928,15181,89615,27121,15302,89920,27319,15388,89837,27522,15456,89651,27740,15510,89414,27968,15575,89143,28259,15663,88860,28558,15802,88581,28818,15863,88291,29178,15947,87980,29547,16045,87614,29966,16102,87295,30386,16060,87024,30858,16018,86757,31332,15965,86507,31831,15900,86257,32348
Horta-Guinardó,Districte,Baix,22199,117897,40092,21891,118321,39977,21625,118252,39907,21315,117909,39779,20972,117231,39861,20632,116386,40017,20266,115397,40324,19997,114364,40637,19719,113546,40881,19446,112804,41165,19305,112059,41429,19193,111319,41756,19203,110429,42196,19283,109646,42533,19292,108912,42957,19334,108126,43464,19315,107449,43973,19304,106786,44508,19320,106227,44952,19345,105738,45355,19380,105238,45791
Horta-Guinardó,Districte,Mitjà,22199,117897,40092,21958,118725,40117,21840,119455,40203,21720,120122,40232,21562,120231,40462,21406,120004,40756,21229,119518,41199,21143,118846,41641,21061,118322,42010,20992,117811,42419,21049,117240,42805,21129,116623,43255,21324,115807,43818,21580,115057,44278,21756,114315,44828,21953,113481,45461,22079,112721,46098,22170,111970,46761,22259,111309,47334,22337,110695,47866,22402,110053,48431
Horta-Guinardó,Districte,Alt,22199,117897,40092,22006,119109,40257,21948,120270,40441,21909,121475,40573,21880,122351,40914,21878,122833,41318,21868,122837,41865,21954,122299,42400,22041,121748,42857,22136,121122,43352,22367,120460,43827,22619,119764,44367,22984,118882,45024,23407,118078,45582,23748,117294,46233,24107,116428,46972,24393,115644,47721,24611,114907,48501,24826,114270,49194,25019,113724,49852,25180,113181,50547
Nou Barris,Districte,Baix,24113,117460,38123,23570,118405,38019,23149,118780,37884,22679,118608,37920,22171,118270,37974,21665,117692,38159,21225,116828,38538,20825,116063,38840,20427,115293,39291,20161,114604,39663,19949,113940,40078,19877,113212,40528,19872,112492,41006,19904,111773,41534,20064,111016,42052,20262,110271,42594,20221,109743,43220,20351,109111,43835,20510,108536,44413,20676,108057,44927,20849,107564,45484
Nou Barris,Districte,Mitjà,24113,117460,38123,23641,118829,38150,23376,120044,38166,23108,120932,38357,22799,121422,38557,22493,121492,38881,22261,121158,39396,22066,120771,39827,21888,120309,40403,21853,119862,40900,21867,119382,41438,22017,118782,42010,22226,118139,42610,22463,117453,43261,22819,116686,43903,23200,115892,44569,23331,115275,45323,23586,114551,46066,23837,113866,46773,24071,113259,47417,24285,112620,48103
Nou Barris,Districte,Alt,24113,117460,38123,23689,119231,38286,23487,120899,38396,23306,122352,38687,23136,123646,38998,22998,124460,39431,22948,124640,40050,22942,124393,40572,22954,123901,41238,23104,123333,41819,23315,122756,42444,23661,122073,43107,24065,121359,43799,24495,120615,44547,25040,119803,45290,25606,118975,46061,25920,118331,46926,26325,117619,47784,26722,116959,48610,27088,116423,49381,27410,115890,50199
Sant Andreu,Districte,Baix,20737,100637,34164,20295,100880,34307,19793,100818,34514,19286,100504,34681,18788,99959,34939,18319,99406,35096,17836,98727,35369,17330,98098,35653,16964,97370,35996,16559,96771,36338,16238,96196,36651,16036,95507,37029,15894,94838,37390,15776,94142,37810,15793,93315,38274,15723,92600,38760,15673,91901,39251,15736,91063,39803,15832,90179,40402,15946,89493,40814,16075,88802,41243
Sant Andreu,Districte,Mitjà,20737,100637,34164,20349,101206,34414,19965,101788,34744,19612,102287,35035,19265,102376,35413,18946,102321,35684,18620,102048,36071,18269,101712,36463,18070,101220,36915,17841,100808,37365,17692,100375,37788,17661,99785,38277,17685,99178,38750,17729,98508,39283,17900,97675,39862,17976,96922,40465,18062,96155,41075,18227,95246,41748,18401,94277,42466,18574,93491,42997,18740,92685,43545
Sant Andreu,Districte,Alt,20737,100637,34164,20387,101516,34523,20053,102446,34929,19765,103380,35303,19524,104088,35770,19334,104606,36131,19147,104730,36603,18939,104502,37074,18885,103990,37602,18798,103487,38128,18801,102982,38629,18923,102330,39199,19098,101671,39757,19293,100958,40379,19612,100092,41052,19835,99314,41752,20067,98529,42465,20350,97631,43244,20641,96680,44074,20920,95950,44720,21175,95225,45386
Sant Martí,Districte,Baix,31754,166800,50765,31179,167526,51106,30688,167506,51454,30080,166962,51826,29396,166164,52253,28729,165133,52724,28137,163864,53305,27483,162634,53975,26855,161619,54597,26407,160564,55250,25942,159780,55805,25600,158959,56410,25384,158073,57079,25330,157151,57728,25267,156245,58465,25381,155176,59276,25345,154378,60041,25419,153491,60850,25545,152672,61595,25696,151898,62322,25871,151253,62938
Sant Martí,Districte,Mitjà,31754,166800,50765,31274,168160,51275,30999,169393,51824,30671,170434,52403,30255,170871,53027,29854,170810,53687,29532,170330,54453,29139,169666,55302,28785,169110,56101,28621,168418,56932,28431,167906,57665,28355,167278,58448,28394,166508,59299,28581,165636,60131,28744,164717,61056,29066,163573,62058,29222,162643,63016,29430,161607,64021,29650,160609,64962,29865,159621,65885,30071,158730,66696
Sant Martí,Districte,Alt,31754,166800,50765,31340,168760,51458,31150,170671,52128,30937,172557,52840,30708,174199,53613,30527,175251,54422,30439,175542,55329,30276,175086,56305,30148,174488,57227,30201,173613,58178,30242,172957,59034,30397,172206,59947,30663,171332,60933,31077,170374,61909,31461,169388,62983,32001,168193,64142,32371,167225,65267,32752,166203,66446,33142,165233,67570,33513,164339,68684,33848,163588,69691
